Date,Name,Active,Length,Data,Tango,India,Victor,Oscar
2017-04-02,Orange,FALSE,30,[object Object],2.3273786670382046,0.9301764649828694,5.15,55214
2017-04-03,Robert,FALSE,60,[object Object],13.084520602669665,0.613087476933522,4.41,27158
2017-04-04,Volt,FALSE,15,[object Object],11.365255163701132,0.06456325981995548,11.54,36818
2017-04-05,Volt,TRUE,60,[object Object],3.6803086829768628,0.40458412553965406,16.98,6791
2017-04-06,Orange,TRUE,30,[object Object],12.787720249894647,0.11667578041574056,14.04,42282
2017-04-07,Volt,FALSE,60,[object Object],15.440920857440009,0.8361327565222099,18.23,10606
2017-04-08,Orange,TRUE,30,[object Object],2.4343021426737943,0.12517987861841884,8.41,28907
2017-04-09,Orange,FALSE,30,[object Object],8.694148180825426,0.1341317139819831,3.77,99971
2017-04-10,Ink,TRUE,60,[object Object],4.3400503475878605,0.8105820654479228,0.36,45268
2017-04-11,Robert,FALSE,15,[object Object],2.496410308160817,0.41794907955164584,12.66,40696
2017-04-12,Robert,FALSE,60,[object Object],11.914162430655232,0.4547966287705205,0.77,24099
2017-04-13,Robert,TRUE,15,[object Object],10.012040272522169,0.21481574257235736,12.69,18903
2017-04-14,Orange,TRUE,15,[object Object],2.1410258506677637,0.46207684629994383,14.17,74321
2017-04-15,Volt,TRUE,60,[object Object],10.545848715661252,0.7463002754661163,8.14,85546
2017-04-16,Volt,TRUE,30,[object Object],18.431874246291198,0.8814041102799195,19.55,21378
2017-04-17,Robert,TRUE,15,[object Object],14.940451243406653,0.7276285100330349,1.79,69612
2017-04-18,Orange,FALSE,30,[object Object],6.457577261550704,0.07620671897646014,2.91,17916
2017-04-19,Volt,FALSE,60,[object Object],11.012300270318223,0.41880971723568017,17.79,83861
2017-04-20,Ink,FALSE,15,[object Object],17.15985221997714,0.6245048253154903,14.17,24617
2017-04-21,Volt,FALSE,60,[object Object],17.46147587123442,0.48896919828672347,9.63,5768
2017-04-22,Orange,TRUE,30,[object Object],6.1073815339200355,0.8140536110394905,2.01,98689
2017-04-23,Volt,FALSE,60,[object Object],1.2607809008740656,0.5233422296076893,5.46,29560
2017-04-24,Orange,FALSE,60,[object Object],19.932992601745987,0.3370148020436341,18.90,87262
2017-04-25,Ink,TRUE,15,[object Object],19.984360977315898,0.5308237036613741,19.89,54993
2017-04-26,Robert,FALSE,30,[object Object],11.404194261102148,0.34998671173315166,19.27,89345
2017-04-27,Volt,FALSE,15,[object Object],10.640774891521136,0.5859163197319099,19.57,83617
2017-04-28,Ink,TRUE,15,[object Object],5.364546692628487,0.05434965957043425,6.71,56165
2017-04-29,Volt,TRUE,60,[object Object],1.7499730245075007,0.9700931039450058,13.92,25913
2017-04-30,Robert,FALSE,15,[object Object],2.6934283370158685,0.8909522041378319,16.67,84636
2017-05-01,Ink,FALSE,15,[object Object],0.20997603205171078,0.6318308863584965,15.48,93688
2017-05-02,Ink,FALSE,30,[object Object],12.506086034681655,0.5911463557753183,12.85,23370
2017-06-02,Volt,TRUE,60,[object Object],19.936324039196723,0.5411469264921867,16.75,74929
2017-06-03,Orange,TRUE,15,[object Object],8.524688895356704,0.04475464802241236,7.92,49902
2017-05-05,Orange,TRUE,30,[object Object],5.469944794211119,0.19669722490069774,14.73,97832
2017-06-05,Robert,FALSE,30,[object Object],9.220962578324015,0.10349735210784461,13.42,73201
2017-06-06,Orange,TRUE,15,[object Object],4.745002288052342,0.44100075791029303,5.88,17582
2017-06-07,Robert,TRUE,60,[object Object],13.783589298640102,0.9926115320841726,15.59,20225
2017-06-08,Orange,FALSE,60,[object Object],14.064158672637252,0.6439109932811538,14.38,49544
2017-06-09,Orange,TRUE,15,[object Object],14.035504904311802,0.8823280943360965,2.34,78121
2017-06-10,Ink,TRUE,15,[object Object],12.446708941714562,0.3555759173409745,13.65,78729
2017-05-12,Robert,TRUE,60,[object Object],11.222628697335786,0.801865638773114,8.11,22571
2017-06-12,Volt,TRUE,60,[object Object],18.061960577192153,0.525763699952372,18.66,56422
2017-05-14,Ink,TRUE,15,[object Object],13.341550719794867,0.2914112334887127,15.22,12588
2017-05-15,Orange,FALSE,60,[object Object],10.756787750675523,0.3561387785096064,4.78,48903
2017-05-16,Ink,FALSE,15,[object Object],3.888589145423693,0.8517316653873603,4.06,11444
2017-06-16,Robert,TRUE,30,[object Object],19.615451838962517,0.8526326493597312,2.06,35893
2017-05-18,Robert,TRUE,30,[object Object],5.437529831004699,0.7484920955936187,1.08,15734
2017-05-19,Volt,FALSE,60,[object Object],18.68787830129536,0.5440929288433973,0.67,42543
2017-06-19,Orange,FALSE,15,[object Object],15.562282118960438,0.9295365733840344,5.20,31617
2017-06-20,Volt,FALSE,15,[object Object],9.937843271487111,0.943437102795863,9.65,43730
2017-05-22,Ink,TRUE,30,[object Object],9.164208781294727,0.1538557092823527,12.27,19213
2017-05-23,Ink,TRUE,15,[object Object],1.1636268312413511,0.08751710247518618,12.10,5430
2017-05-24,Orange,TRUE,15,[object Object],17.46630883975233,0.015770496251985344,5.94,82825
2017-05-25,Orange,TRUE,30,[object Object],10.06279352451035,0.5515640342314696,0.77,67139
2017-05-26,Ink,TRUE,60,[object Object],8.124475665440958,0.49229112316596946,11.91,56713
2017-05-27,Ink,TRUE,60,[object Object],4.314167163845575,0.32278861589427454,12.78,69968
2017-06-27,Ink,FALSE,15,[object Object],19.149014535691183,0.34714829373636613,9.55,94103
2017-05-29,Orange,FALSE,15,[object Object],16.81657410028415,0.8433270338413124,6.58,94667
2017-06-29,Robert,FALSE,30,[object Object],6.872885082842788,0.5034162612637274,8.15,23858
2017-05-31,Robert,TRUE,15,[object Object],0.8843040174573646,0.8993511105911165,16.79,39440
2017-07-01,Ink,TRUE,30,[object Object],12.363490979789544,0.11306765753012571,7.09,38039
2017-08-02,Orange,TRUE,30,[object Object],11.52758561966268,0.869638991206499,17.18,82962
2017-08-03,Orange,TRUE,60,[object Object],19.337380589989124,0.7972740000646295,2.22,40054
2017-06-04,Volt,TRUE,30,[object Object],8.970548573695641,0.4694084940888108,5.58,16215
2017-08-05,Ink,TRUE,15,[object Object],9.587696231201885,0.2817071594814071,9.68,39631
2017-08-06,Orange,FALSE,15,[object Object],10.432969217022055,0.8159879520664288,1.26,61127
2017-08-07,Orange,TRUE,30,[object Object],3.3463505645140446,0.3205541908777838,7.86,74033
2017-08-08,Volt,TRUE,30,[object Object],12.883498498815777,0.9596143180034713,19.93,30545
2017-08-09,Orange,TRUE,15,[object Object],16.738219376925652,0.017842202928688877,3.59,49448
2017-06-10,Robert,TRUE,60,[object Object],10.855694783211586,0.8768493756940947,11.87,15678
2017-08-11,Robert,TRUE,60,[object Object],8.375269581206183,0.921355639761944,18.21,68774
2017-06-12,Robert,TRUE,60,[object Object],11.652231669040134,0.003672777904090374,6.73,21755
2017-08-13,Volt,FALSE,15,[object Object],13.65913255563365,0.6050070408863961,15.66,71354
2017-06-14,Robert,FALSE,30,[object Object],19.937410544007008,0.28606006751749535,7.02,13194
2017-06-15,Ink,FALSE,15,[object Object],10.493691613280859,0.5736105602987631,0.48,96750
2017-08-16,Volt,FALSE,15,[object Object],1.4359298392500364,0.6904125970126771,15.45,84284
2017-06-17,Volt,FALSE,15,[object Object],18.5755747891702,0.6102029897343126,17.69,36796
2017-08-18,Orange,FALSE,30,[object Object],4.388211931519499,0.953710299083697,8.25,11230
2017-06-19,Orange,FALSE,30,[object Object],12.598358032171731,0.3825389377273596,7.42,97836
2017-06-20,Volt,TRUE,15,[object Object],10.925139399161496,0.5701511662580236,1.00,90192
2017-08-21,Orange,FALSE,60,[object Object],5.4437560288633335,0.5712836818529421,9.23,92648
2017-08-22,Volt,TRUE,15,[object Object],4.222041406112518,0.9694408315601251,1.53,5558
2017-08-23,Ink,FALSE,30,[object Object],2.5356865330957046,0.41998217083420375,6.00,39085
2017-06-24,Ink,FALSE,30,[object Object],17.92123964848121,0.10661138366898038,12.93,91202
2017-08-25,Robert,TRUE,30,[object Object],10.706620042545246,0.505861815271031,7.73,76259
2017-06-26,Ink,TRUE,15,[object Object],11.02726478917698,0.32200564752563166,9.67,40189
2017-08-27,Orange,FALSE,30,[object Object],7.361448886832367,0.6836853021482046,12.41,20888
2017-06-28,Robert,FALSE,15,[object Object],6.215854591356931,0.2527496405712679,11.95,51177
2017-06-29,Robert,TRUE,30,[object Object],4.16201336929011,0.27470404222128897,15.34,60769
2017-08-30,Robert,TRUE,60,[object Object],6.277783856872254,0.12793855224952622,10.84,55417
2017-08-31,Ink,FALSE,15,[object Object],9.846475670638855,0.7879765213776739,16.67,12480
2017-10-01,Orange,TRUE,60,[object Object],0.8303763935290531,0.5302595118011406,3.87,16537
2017-10-02,Robert,FALSE,60,[object Object],18.515697567875527,0.522288054569956,12.74,38747
2017-07-04,Volt,TRUE,60,[object Object],19.605480365525505,0.5255927211000009,11.04,97448
2017-10-04,Robert,FALSE,60,[object Object],10.599818237982896,0.3965961251352834,7.86,64826
2017-07-06,Orange,TRUE,30,[object Object],17.30456320134458,0.4299148227733338,13.48,20498
2017-07-07,Ink,FALSE,60,[object Object],1.9134477014297913,0.3347139537487167,17.91,50161
2017-07-08,Volt,TRUE,60,[object Object],17.574054008719923,0.02422274132722202,12.70,88720
2017-07-09,Orange,TRUE,15,[object Object],18.539602110445195,0.8757001395949915,16.32,50435
2017-10-09,Ink,FALSE,30,[object Object],7.492493728355947,0.85148127180048,18.68,78325
2017-07-11,Orange,TRUE,15,[object Object],1.0305548232629436,0.9294068584985624,2.64,32552
2017-10-11,Orange,TRUE,30,[object Object],13.687664641767935,0.9909021383508216,6.87,97156
2017-07-13,Robert,TRUE,30,[object Object],6.177196804179355,0.9428818279055824,19.76,33350
2017-07-14,Ink,TRUE,15,[object Object],5.880687742515813,0.8542200410327465,1.79,45727
2017-10-14,Orange,FALSE,60,[object Object],5.169189335021933,0.9630614003007503,16.83,46824
2017-07-16,Ink,FALSE,60,[object Object],2.730188168631633,0.2479098077881534,4.12,49272
2017-07-17,Volt,FALSE,15,[object Object],5.985230042303322,0.8628977792136259,6.75,57906
2017-10-17,Robert,TRUE,15,[object Object],4.976661615102187,0.07640412259124374,0.09,15100
2017-07-19,Orange,TRUE,30,[object Object],7.902386025250325,0.5123140833596169,8.73,38674
2017-10-19,Orange,FALSE,30,[object Object],16.05164578711896,0.0023461338353880645,2.51,10682
2017-07-21,Robert,TRUE,60,[object Object],2.9605245221717924,0.986313426628779,10.11,49346
2017-10-21,Volt,TRUE,15,[object Object],13.906579198955086,0.12667729317565946,19.01,29036
2017-10-22,Volt,FALSE,30,[object Object],16.650887326968014,0.978743049576122,4.72,12907
2017-07-24,Orange,TRUE,15,[object Object],15.873854202043084,0.09734730894748345,6.82,53709
2017-07-25,Orange,FALSE,60,[object Object],14.457329267142214,0.00976836830394423,14.97,90688
2017-07-26,Volt,FALSE,60,[object Object],9.354632439638353,0.7602737817738161,14.35,51442
2017-10-26,Volt,TRUE,30,[object Object],12.87474911551394,0.25394044500419954,17.74,81557
2017-10-27,Orange,FALSE,60,[object Object],2.759255555178761,0.8100753241549681,13.70,32052
2017-10-28,Robert,TRUE,30,[object Object],13.842665447257986,0.006123046142036737,11.40,67976
2017-10-29,Volt,TRUE,15,[object Object],10.323416678512324,0.8575333756008783,1.44,54243
2017-07-31,Orange,FALSE,30,[object Object],12.103487518136639,0.7376140184419908,18.51,36085
2017-08-01,Volt,TRUE,15,[object Object],12.413502127026472,0.22900643472647242,7.87,51564
2017-08-02,Robert,TRUE,15,[object Object],4.109563220793033,0.4027156049926286,15.56,67183
2017-12-03,Ink,FALSE,30,[object Object],19.725251765011368,0.929005325785442,8.48,90442
2017-12-04,Robert,FALSE,15,[object Object],12.758114134447208,0.45776907606242956,16.09,76565
2017-12-05,Orange,TRUE,60,[object Object],8.026371674215484,0.8627902162529695,10.70,38894
2017-12-06,Ink,FALSE,15,[object Object],8.659083773194073,0.47504094349712145,13.74,47433
2017-12-07,Volt,TRUE,15,[object Object],4.076464463387537,0.041997506767761594,6.16,92521
